X,Y,NAME,ADDRESS,CITY,COUNTY,DISTRICT,PROGRAM,STATUS,MANAGER,OBJECTID,ERIC_ID,LAT_DD,LAT_MM,LONG_DD,LONG_MM,DATUM,HAZ_ARC_ID,DOCUMENTS
-81.76846037,30.29396103,Fairfax North,Fairfax St and W 19th St,JACKSONVILLE,DUVAL,NED,StateFunded,OPEN,Miranda McClure,1,ERIC_5586,30,17,81,46,DPHO,,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_5586/gis-facility!search
-81.94049924,27.44647506,Florida Fence Post,5251 SR 64 W,Ona,HARDEE,SWD,StateFunded,OPEN,Miranda McClure,2,ERIC_5574,27,26,81,56,DPHO,,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_5574/gis-facility!search
-82.54568463,27.45842752,Tortuga Inc,4515/4792 - 4601 15th St E,Bradenton,MANATEE,SWD,StateFunded,OPEN,John Sykes,3,ERIC_3972,27,27,82,32,ADDM,202,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3972/gis-facility!search
-81.35745544,28.59469952,Hurleys Drycleaners - Former,620 W Lyman Ave,Winter Park,ORANGE,CD,StateFunded,OPEN,Billy Hessman,4,ERIC_3950,28,35,81,21,WGPS,180,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3950/gis-facility!search
-87.26609014,30.41528563,Omni - Vest Landfill,Idlewood Dr - W of Keys Ct,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,Theresa Pepe,11,ERIC_3823,30,24,87,15,ADDM,50,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3823/gis-facility!search
-80.74851903,28.3928056,Skippers,2409 N Cocoa Blvd - US Hwy 1,Cocoa,BREVARD,CD,StateFunded,OPEN,John Sykes,14,ERIC_3864,28,23,80,44,ADDM,92,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3864/gis-facility!search
-80.69290568,28.26936363,Weekley Lumber,5100 Korbin Ave,Rockledge,BREVARD,CD,StateFunded,OPEN,John Sykes,16,ERIC_3880,28,16,80,41,DPHO,108,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3880/gis-facility!search
-81.8893016,28.04661435,Lakeland Tanning Site,Hwy 92 & Reynolds Rd,Lakeland,POLK,SWD,StateFunded,OPEN,Walsta JeanBaptiste,17,ERIC_3895,28,2,81,53,ADDM,124,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3895/gis-facility!search
-80.35025425,27.45509919,Jimmys Discount Cleaners,601 N 25th St,Fort Pierce,ST. LUCIE,SED,StateFunded,OPEN,John Sykes,20,ERIC_3915,27,27,80,21,WGPS,145,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3915/gis-facility!search
-80.05830975,26.73827204,Atlas Plating,2731 Pinewood Ave,West Palm Beach,PALM BEACH,SED,StateFunded,OPEN,John Sykes,21,ERIC_3921,26,44,80,3,UNKN,151,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3921/gis-facility!search
-87.22438269,30.51121699,B & M Laundromat - Former,1720 E Olive Rd,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,Theresa Pepe,23,ERIC_3930,30,30,87,13,UNKN,160,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3930/gis-facility!search
-80.76494448,28.40733074,Climatrol,529 Industry Rd S,Cocoa,BREVARD,CD,StateFunded,OPEN,Theresa Pepe,24,ERIC_3938,28,24,80,45,UNKN,168,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3938/gis-facility!search
-86.6361406,30.46913361,West Florida Scrap Metal - Former,Hi - Tech Lane,Ft Walton Beach,OKALOOSA,NWD,StateFunded,OPEN,John Sykes,25,ERIC_3942,30,28,86,38,WGPS,172,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3942/gis-facility!search
-81.00334807,29.12760599,Port Orange K - Mart Store No. 7268,3813 S Nova Rd,Port Orange,VOLUSIA,CD,StateFunded,OPEN,John Sykes,27,ERIC_3949,29,7,81,0,UNKN,179,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3949/gis-facility!search
-87.23434946,30.46001353,Beggs Lane/F D C Holdings,10 Spruce St,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,John Sykes,28,ERIC_3956,30,27,87,14,UNKN,186,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3956/gis-facility!search
-80.3170023,25.83102056,TurboPower Inc - Former/James Qualley Site,6321 NW 74th Ave,Miami,MIAMI-DADE,SED,StateFunded,OPEN,Theresa Pepe,29,ERIC_3960,25,49,80,19,DPHO,190,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3960/gis-facility!search
-87.27671636,30.4039168,New Warrington & Navy Boulevard Pesticide Site,New Warrington Rd & Navy Blvd,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,John Sykes,30,ERIC_3963,30,24,87,16,UNKN,193,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3963/gis-facility!search
-87.33086049,30.46317709,Saufley Construction & Demolition (C & D) Facility,5660 Saufley Field Rd,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,Theresa Pepe,31,ERIC_3967,30,27,87,19,ADDM,197,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3967/gis-facility!search
-81.97399688,28.03896262,Olive St E aka South Central Ave,449 S Central Ave,Lakeland,POLK,SWD,StateFunded,OPEN,Walsta JeanBaptiste,32,ERIC_3973,28,2,81,58,ADDM,203,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3973/gis-facility!search
-81.31647448,28.67557379,Technitronics,1041 & 1043 Seminola Blvd,Cassleberry,SEMINOLE,CD,StateFunded,OPEN,Theresa Pepe,33,ERIC_3974,28,40,81,18,ADDM,204,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3974/gis-facility!search
