OID,PARCELID,FDEM_ID,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,TYPE,OWNER,OPERATING,OP_CLASS,AHCA_OWNER,PROFIT,CAPACITY,BEDS,STATE_ID,EFCLASS,AHCA_NUM,CON1_TYPE,CON1_UP,CON1_DOWN,CON2_TYPE,CON2_UP,CON2_DOWN,CON3_TYPE,CON3_UP,CON3_DOWN,NET_CONS,WEBSITE,ACTYRBLT,FSOURCE,DATASOURCE,NOTES,LAT_DD,LONG_DD,MGRS,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,AUTOID,DDLat,DDLon,ORIG_OID
1,00434430220000000,N/A,SELECT SPECIALTY HOSPITAL - PALM BEACH,3060 MELALEAUCA LANE,LAKE WORTH,33461,PALM BEACH,561-357-7200,HOSPITALS - ACUTE CARE,SELECT SPECIALITY HOSPITAL,PRIVATE,PRIVATE,SELECT MEDICAL CORPORATION,INVESTOR-OWNED,0,60,N/A,EFHM,23960072, , , , , , , , , , ,HTTP://WWW.SELECTSPECIALTYHOSPITALS.COM/,2007,GEOPLAN,GEOPLAN, ,26.60891855,-80.09167855,17RNK9043143442,107,6.49786087,SELECT SPECIALTY HOSPITAL - PALM BEACH,V,2011-05-10,2017-09-06,1,26.60891855,-80.09167855,1
2,331S303000000070,N/A,SELECT SPECIALTY HOSPITAL - PENSACOLA,7000 COBBLE CREEK DR,PENSACOLA,32504,ESCAMBIA,850-473-4800,HOSPITALS - ACUTE CARE,SELECT SPECIALTY HOSPITAL PENS,PRIVATE,PRIVATE,SELECT MEDICAL CORPORATION,INVESTOR-OWNED,0,75,N/A,EFHM,23960076, , , , , , , , , , ,HTTP://WWW.SELECTSPECIALTYHOSPITALS.COM/,2008,GEOPLAN,GEOPLAN, ,30.47863843,-87.21552596,16RDU7931371844,108,7.61674642,SELECT SPECIALTY HOSPITAL - PENSACOLA,V,2016-05-17,2017-09-06,2,30.47863843,-87.21552596,2
3,21084-000-000,N/A,SELECT SPECIALTY HOSPITAL - PANAMA CITY,615 N BONITA AVE (3RD FLOOR OF BAY MEDICAL CENTER),PANAMA CITY,32401,BAY,850-767-3180,HOSPITALS - ACUTE CARE,BAY COUNTY SACRED HEART,PRIVATE,PRIVATE,SELECT MEDICAL CORPORATION,INVESTOR-OWNED,0,30,N/A,EFHS,23960045, , , , , , , , , , ,HTTP://WWW.SELECTSPECIALTYHOSPITALS.COM/,1949,GEOPLAN,GEOPLAN,TWO HOSPITALS ON ONE PARCEL,30.15934085,-85.64990949,16RFU3001137211,109,28.86347789,SELECT SPECIALTY HOSPITAL - PANAMA CITY,V,2012-11-19,2017-09-06,3,30.15934085,-85.64990949,3
4,0131350760010,N/A,JACKSON BEHAVIORAL HEALTH HOSPITAL,1695 NW 9TH AVE,MIAMI,33136,MIAMI-DADE,305-355-8234,HOSPITALS - PSYCHIATRIC,MIAMI-DADE COUNTY,COUNTY,PUBLIC,JACKSON HEALTH SYSTEM,PUBLIC/GOVERNMENT,0,239,N/A,EFHL,N/A, , , , , , , , , , ,HTTP://WWW.JHSMIAMI.ORG/BODY.CFM?ID=53,1999,GEOPLAN,GEOPLAN,JACKSON BEHAVIORAL HEALTH HOSPITAL,25.79085915,-80.20958781,17RNJ7924452761,110,6.48961218,JACKSON BEHAVIORAL HEALTH HOSPITAL,V,2016-05-17,2017-09-06,4,25.79085915,-80.20958781,4
5,0596010000R,N/A,NORTHEAST FLORIDA COMMUNITY HOSPICE - DR GASTON J ACOSTA-RUA CENTER FOR CARING,5450 RAMONA BLVD,JACKSONVILLE,32205,DUVAL,904-407-6132,HOSPITALS - HOSPICE,COMMUNITY HOSPICE OF NORTHEAST,PRIVATE,PRIVATE,N/A,NOT-FOR-PROFIT,0,16,N/A,EFHS,N/A, , , , , , , , , , ,HTTP://WWW.COMMUNITYHOSPICE.COM/GETINVOLVED/RELEASE_32.HTM,2006,GEOPLAN,GEOPLAN, ,30.31365607,-81.74024861,17RMP2882953774,111,5.4679638,NORTHEAST FLORIDA COMMUNITY HOSPICE - DR GASTON J ACOSTA-RUA CENTER FOR CARING,V,2011-05-10,2017-09-06,5,30.31365607,-81.74024861,5
6,282412000000028,N/A,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,6601 CENTRAL FLORIDA PKWY,ORLANDO,32821,ORANGE,407-370-0111,HOSPITALS - PSYCHIATRIC,CENTRAL FLORIDA BEHAVIORAL HOS,PRIVATE,PRIVATE,UNIVERSAL HEALTH SERVICES INC,INVESTOR-OWNED,0,126,N/A,EFHM,23960083, , , , , , , , , , ,HTTP://WWW.CENTRALFLORIDABEHAVIORAL.COM/,1986,GEOPLAN,GEOPLAN, ,28.40919126,-81.46958366,17RMM5400542622,112,7.14332355,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,V,2016-05-17,2017-09-06,6,28.40919126,-81.46958366,6
7,504131080010,N/A,HIGH POINT TREATMENT CENTER,5960 SW 160TH AVE,COOPER CITY,33328,BROWARD,954-680-2700,HOSPITALS - PSYCHIATRIC,HHC FOCUS FLORIDA INC,PRIVATE,PRIVATE,PSYCHIATRIC SOLUTIONS INC,INVESTOR-OWNED,0,88,N/A,EFHM,N/A, , , , , , , , , , ,HTTP://WWW.HIGHPOINTTREATMENT.COM/,1977,GEOPLAN,GEOPLAN, ,26.04580572,-80.28697536,17RNJ7133180951,113,6.30337936,HIGH POINT TREATMENT CENTER,V,2011-05-10,2017-09-06,7,26.04580572,-80.28697536,7
8,56424225410000010,N/A,KINDRED HOSPITAL - THE PALM BEACHES,5555 W BLUE HERON BLVD,RIVIERA BEACH,33418,PALM BEACH,561-840-0754,HOSPITALS - ACUTE CARE,KINDRED HOSPITALS EAST LLC,PRIVATE,PRIVATE,KINDRED EAST REGION OFFICE,INVESTOR-OWNED,0,70,N/A,EFHM,23960074, , , , , , , , , , ,HTTP://WWW.KHTHEPALMBEACHES.COM/,2008,GEOPLAN,GEOPLAN, ,26.78288629,-80.11046327,17RNK8842762698,114,3.96811687,KINDRED HOSPITAL - THE PALM BEACHES,V,2011-05-10,2017-09-06,8,26.78288629,-80.11046327,8
9,5165320002,N/A,SUNCOAST BEHAVIORAL HEALTH CENTER,4480 51ST ST W,BRADENTON,34210,MANATEE,941-792-2222,HOSPITALS - PSYCHIATRIC,PREMIER BEHAVIORAL SOLUTIONS O,PRIVATE,PRIVATE,UNIVERSAL HEALTH SERVICES INC,INVESTOR-OWNED,0,60,N/A,EFHM,110049, , , , , , , , , , ,HTTP://WWW.MANATEEPALMSYOUTHSERVICES.COM/,1989,GEOPLAN,GEOPLAN,SUNCOAST BEHAVIORAL HEALTH CENTER,27.45974489,-82.61282547,17RLL4062738392,115,8.8264526,SUNCOAST BEHAVIORAL HEALTH CENTER,V,2016-05-17,2017-09-06,9,27.45974489,-82.61282547,9
10,12424626000001200,N/A,FAIR OAKS PAVILION - PSYCHIATRIC HOSPITAL - DELRAY MEDICAL CENTER,5440 LINTON BLVD,DELRAY BEACH,33484,PALM BEACH,561-495-1000,HOSPITALS - PSYCHIATRIC,TENET HEALTHCARE CORP,PRIVATE,PRIVATE,TENET HEALTHSYSTEM,INVESTOR-OWNED,0,53,N/A,EFHM,N/A, , , , , , , , , , ,HTTP://WWW.DELRAYMEDICALCTR.COM/EN-US/PAGES/DEFAULT.ASPX,1985,GEOPLAN,FHA,BELONGS TO DELRAY MEDICAL CENTER,26.43634918,-80.12940862,17RNK8680424302,153,5.43235956,FAIR OAKS PAVILION - PSYCHIATRIC HOSPITAL - DELRAY MEDICAL CENTER,V,2012-11-19,2017-09-06,10,26.43634918,-80.12940862,10
11,08434533100000010,10225012,BETHESDA HOSPITAL EAST,2815 S SEACREST BLVD,BOYNTON BEACH,33435,PALM BEACH,561-737-7733,HOSPITALS - ACUTE CARE,BETHESDA HOSPITAL INC,PRIVATE,PRIVATE,BETHESDA MEM. HOSP.,NOT-FOR-PROFIT,0,401,FL000132,EFHL,100002, , , ,OTHER COPPER WIRELINE,50 MBPS TO 100 MBPS,1.5 MBPS TO 3 MBPS,OTHER COPPER WIRELINE,1.5 MBPS TO 3 MBPS,1.5 MBPS TO 3 MBPS,4,HTTP://WWW.BETHESDAWEB.COM,1958,GEOPLAN,FDEM,BETHESDA HOSPITAL EAST,26.50451268,-80.07054519,17RNK9261931893,154,27.49850913,BETHESDA HOSPITAL EAST,V,2016-05-17,2017-09-06,11,26.50451268,-80.07054519,11
12,044624030000B0000,N/A,HEALTHPARK MEDICAL CENTER,9981 HEALTHPARK DR,FORT MYERS,33908,LEE,239-433-7799,HOSPITALS - ACUTE CARE,LEE MEMORIAL HEALTH SYSTEM,PRIVATE,PRIVATE,LEE MEMORIAL HEALTH SYSTEM,PUBLIC/GOVERNMENT,0,368,N/A,EFHL,120005,OPTICAL FIBER,100 MBPS TO 1 GBPS,100 MBPS TO 1 GBPS, , , , , , ,2,HTTP://WWW.LEEMEMORIAL.ORG/FACILITIES/HEALTHPARK.ASP,1991,GEOPLAN,FHA, ,26.50731789,-81.91316119,17RMK0900732192,155,196.4044721,HEALTHPARK MEDICAL CENTER,V,2011-05-10,2017-09-06,12,26.50731789,-81.91316119,12
13,19452528000000020,10225009,GULF COAST MEDICAL CENTER,13681 DOCTORS WAY,FORT MYERS,33912,LEE,239-343-1000,HOSPITALS - ACUTE CARE,LEE MEMORIAL HEALTH SYSTEM,PRIVATE,PRIVATE,LEE MEMORIAL HEALTH SYSTEM,PUBLIC/GOVERNMENT,0,356,FL000129,EFHL,100220, , , , , , , , , , ,HTTP://WWW.LEEMEMORIAL.ORG/,1990,GEOPLAN,FDEM, ,26.54377481,-81.8507936,17RMK1524836187,156,70.44439215,GULF COAST MEDICAL CENTER,V,2016-05-17,2017-09-06,13,26.54377481,-81.8507936,13
