OID,PARCELID,FDEM_ID,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,TYPE,OWNER,OPERATING,OP_CLASS,AHCA_OWNER,PROFIT,CAPACITY,BEDS,STATE_ID,EFCLASS,AHCA_NUM,CON1_TYPE,CON1_UP,CON1_DOWN,CON2_TYPE,CON2_UP,CON2_DOWN,CON3_TYPE,CON3_UP,CON3_DOWN,NET_CONS,WEBSITE,ACTYRBLT,FSOURCE,DATASOURCE,NOTES,LAT_DD,LONG_DD,MGRS,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,AUTOID,DDLat,DDLon,ORIG_OID
5,0596010000R,,NORTHEAST FLORIDA COMMUNITY HOSPICE - DR GASTON J ACOSTA-RUA CENTER FOR CARING,5450 RAMONA BLVD,JACKSONVILLE,32205,DUVAL,904-407-6132,HOSPITALS - HOSPICE,COMMUNITY HOSPICE OF NORTHEAST,PRIVATE,PRIVATE,,NOT-FOR-PROFIT,0,16,,EFHS,, , , , , , , , , , ,HTTP://WWW.COMMUNITYHOSPICE.COM/GETINVOLVED/RELEASE_32.HTM,2006,GEOPLAN,GEOPLAN, ,30.31365607,-81.74024861,17RMP2882953774,111,5.4679638,NORTHEAST FLORIDA COMMUNITY HOSPICE - DR GASTON J ACOSTA-RUA CENTER FOR CARING,V,2011-05-10,2017-09-06,5,30.31365607,-81.74024861,5
61,09-12-31-0000-02030-0020,,FLORIDA HOSPITAL FLAGLER,60 MEMORIAL MEDICAL PKWY,PALM COAST,32164,FLAGLER,386-586-2000,HOSPITALS - ACUTE CARE,MEMORIAL HOSPITAL-FLAGLER INC,PRIVATE,PRIVATE,ADVENTIST HEALTH SYSTEM,NOT-FOR-PROFIT,0,99,,EFHM,100118.0, , , ,OPTICAL FIBER,100 MBPS TO 1 GBPS,10 MBPS TO 25 MBPS,OPTICAL FIBER,100 MBPS TO 1 GBPS,100 MBPS TO 1 GBPS,3,HTTP://WWW.FLORIDAHOSPITALFLAGLER.COM/,2002,GEOPLAN,FHA, ,29.47928164,-81.18930921,17RMN8164761103,26,101.10633670000001,FLORIDA HOSPITAL FLAGLER,V,2011-05-10,2017-09-06,61,29.47928164,-81.18930921,61
65,10-10-26-0000-0200-0010,10224938.0,PUTNAM COMMUNITY MEDICAL CENTER,611 ZEAGLER DR,PALATKA,32177,PUTNAM,386-328-5711,HOSPITALS - ACUTE CARE,PUTNAM COMMUNITY MEDICAL CENTE,PRIVATE,PRIVATE,"LIFEPOINT HOSPITALS, INC.",INVESTOR-OWNED,0,99,FL000076,EFHM,100232.0,DON'T KNOW,DON'T KNOW,DON'T KNOW, , , , , , ,2,HTTP://WWW.PCMCFL.COM/,1975,GEOPLAN,FDEM, ,29.642414000000002,-81.69243464,17RMN3297779363,30,31.64728172,PUTNAM COMMUNITY MEDICAL CENTER,V,2016-05-17,2017-09-06,65,29.642414000000002,-81.69243464,65
69,1351200050,10225001.0,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,ST AUGUSTINE,32086,ST JOHNS,904-819-5155,HOSPITALS - ACUTE CARE,FLAGLER HOSPITAL INC,PRIVATE,PRIVATE,"FLAGLER HEALTH CARE SYSTEM, INC.",NOT-FOR-PROFIT,0,335,FL000121,EFHL,100219.0, , , ,OPTICAL FIBER,10 MBPS TO 25 MBPS,10 MBPS TO 25 MBPS,OPTICAL FIBER,10 MBPS TO 25 MBPS,10 MBPS TO 25 MBPS,3,HTTP://WWW.FLAGLERHOSPITAL.ORG/,1989,GEOPLAN,FDEM, ,29.86292968,-81.31718379,17RMP6936603639,34,61.11312238,FLAGLER HOSPITAL,V,2016-05-17,2017-09-06,69,29.86292968,-81.31718379,69
71,38-06-26-017517-000-00,10225019.0,KINDRED HOSPITAL - NORTH FLORIDA,801 OAK ST,GREEN COVE SPRINGS,32043,CLAY,904-284-9230,HOSPITALS - ACUTE CARE,VENTAS REALTY,PRIVATE,PRIVATE,KINDRED EAST REGION OFFICE,INVESTOR-OWNED,0,80,FL000139,EFHM,100016.0, , , , , , , , , , ,HTTP://WWW.KHNORTHFLORIDA.COM/,1957,GEOPLAN,FDEM, ,29.988056300000004,-81.68222691,17RMP3419217658,36,5.92511868,KINDRED HOSPITAL - NORTH FLORIDA,V,2011-05-10,2017-09-06,71,29.988056300000004,-81.68222691,71
77,1680821032R,10052377.0,BAPTIST MEDICAL CENTER SOUTH,14550 SAINT AUGUSTINE RD,JACKSONVILLE,32258,DUVAL,904-271-6000,HOSPITALS - ACUTE CARE,SOUTHERN BAPTIST HOSPITAL OF F,PRIVATE,PRIVATE,BAPTIST HEALTH,NOT-FOR-PROFIT,0,269,,EFHL,23960052.0, , , ,OPTICAL FIBER,3 MBPS TO 6 MBPS,10 MBPS TO 25 MBPS,OPTICAL FIBER,3 MBPS TO 6 MBPS,3 MBPS TO 6 MBPS,3,HTTP://COMMUNITY.E-BAPTISTHEALTH.COM/BMC/SOUTH/INDEX.HTML,2004,GEOPLAN,FDEM, ,30.13836208,-81.53460436,17RMP4851034238,44,32.6292459,BAPTIST MEDICAL CENTER SOUTH,V,2016-05-17,2017-09-06,77,30.13836208,-81.53460436,77
78,07-04-26-013077-000-00,10224935.0,ORANGE PARK MEDICAL CENTER,2001 KINGSLEY AVE,ORANGE PARK,32073,CLAY,904-276-8500,HOSPITALS - ACUTE CARE,ORANGE PARK MEDICAL CENTER,PRIVATE,PRIVATE,HCA NORTH FLORIDA DIVISION,INVESTOR-OWNED,0,297,FL000073,EFHL,100226.0, , , ,OPTICAL FIBER,GREATER THAN 1 GBPS,200 KBPS TO 768 KBPS,DSL ASYMMETRIC,200 KBPS TO 768 KBPS,768 KBPS TO 1.5 KBPS,3,HTTP://ORANGEPARKMEDICAL.COM/HOME/INDEX.DOT,1974,GEOPLAN,FDEM, ,30.16637162,-81.73781947,17RMP2895737451,46,36.87530244,ORANGE PARK MEDICAL CENTER,V,2016-05-17,2017-09-06,78,30.16637162,-81.73781947,78
82,1490380000R,,EARL HADLOW CENTER FOR CARING,4266 SUNBEAM RD,JACKSONVILLE,32257,DUVAL,904-268-5200,HOSPITALS - HOSPICE,COMMUNITY HOSPICE OF NORTHEAST,PRIVATE,PRIVATE,COMMUNITY HOSPICE OF N.E. FLA.,NOT-FOR-PROFIT,0,38,,EFHS,19965991.0, , , , , , , , , , ,HTTP://WWW.COMMUNITYHOSPICE.COM/ABOUT/OVERVIEW.HTM,1995,GEOPLAN,FDOH, ,30.20467235,-81.6054625,17RMP4172441620,50,12.91946972,EARL HADLOW CENTER FOR CARING,V,2011-05-10,2017-09-06,82,30.20467235,-81.6054625,82
83,0984050000R,,NAVAL HOSPITAL/JACKSONVILLE,2080 CHILD ST,JACKSONVILLE,32214,DUVAL,904-542-7300,HOSPITALS - FEDERAL,UNITED STATES OF AMERICA,FEDERAL,PUBLIC,FEDERAL GOVERNMENT,PUBLIC,0,176,,EFHL,, , , , , , , , , , ,HTTP://WWW.MED.NAVY.MIL/SITES/NHJAX/PAGES/DEFAULT.ASPX,1954,GEOPLAN,FHA, ,30.20858869,-81.68405902,17RMP3416242097,51,28.24293725,NAVAL HOSPITAL/JACKSONVILLE,V,2011-04-11,2017-09-06,83,30.20858869,-81.68405902,83
84,18-3S-22-0000-0000-0020,,NORTHEAST FLORIDA STATE HOSPITAL,7487 S STATE ROAD 121,MACCLENNY,32063,BAKER,904-259-6211,HOSPITALS - PSYCHIATRIC,LAKE SHORE HOSPITAL AUTHORITY,PRIVATE,PRIVATE,,PUBLIC,0,1138,,EFHL,104007.0, , , , , , , , , , ,HTTP://WWW.DCF.STATE.FL.US/FACILITIES/NEFSH/,1963,GEOPLAN,FHA, ,30.23479134,-82.13589145,17RLP9070145348,52,302.5667817,NORTHEAST FLORIDA STATE HOSPITAL,V,2011-05-10,2017-09-06,84,30.23479134,-82.13589145,84
